coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': 18.555, 'lat': 4.3612}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 296.25, 'feels_like': 297.07, 'temp_min': 296.25, 'temp_max': 296.25, 'pressure': 1012, 'humidity': 94, 'sea_level': 1012, 'grnd_level': 972}",10000,"{'speed': 2.06, 'deg': 220}",{'1h': 3.79},{'all': 75},1725584133,"{'type': 1, 'id': 2037, 'country': 'CF', 'sunrise': 1725597539, 'sunset': 1725641372}",3600,2389853,Bangui,200
"{'lon': 15.0444, 'lat': 12.1067}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 297.13, 'feels_like': 298.19, 'temp_min': 297.13, 'temp_max': 297.13, 'pressure': 1010, 'humidity': 100, 'sea_level': 1010, 'grnd_level': 976}",7000,"{'speed': 0, 'deg': 0}",{'all': 40},1725584134,"{'type': 1, 'id': 2228, 'country': 'TD', 'sunrise': 1725598167, 'sunset': 1725642429}",3600,2427123,N'Djamena,200
"{'lon': -70.6483, 'lat': -33.4569}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 289.56, 'feels_like': 288.67, 'temp_min': 289.29, 'temp_max': 290.85, 'pressure': 1017, 'humidity': 54, 'sea_level': 1017, 'grnd_level': 931}",10000,"{'speed': 3.6, 'deg': 150}",{'all': 0},1725584027,"{'type': 2, 'id': 2095708, 'country': 'CL', 'sunrise': 1725533688, 'sunset': 1725575272}",-14400,3871336,Santiago,200
"{'lon': 116.3972, 'lat': 39.9075}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 294.76, 'feels_like': 294.18, 'temp_min': 294.76, 'temp_max': 296.09, 'pressure': 1017, 'humidity': 46, 'sea_level': 1017, 'grnd_level': 1012}",10000,"{'speed': 1.78, 'deg': 37, 'gust': 1.8}",{'all': 7},1725584087,"{'type': 2, 'id': 2000403, 'country': 'CN', 'sunrise': 1725572824, 'sunset': 1725619134}",28800,1816670,Beijing,200
"{'lon': -74.0817, 'lat': 4.6097}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 287.88, 'feels_like': 286.92, 'temp_min': 287.88, 'temp_max': 287.88, 'pressure': 1019, 'humidity': 58, 'sea_level': 1019, 'grnd_level': 739}",10000,"{'speed': 4.12, 'deg': 160}",{'all': 20},1725583917,"{'type': 1, 'id': 8582, 'country': 'CO', 'sunrise': 1725533375, 'sunset': 1725577233}",-18000,3688689,Bogota,200
"{'lon': 43.2551, 'lat': -11.7022}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.19, 'feels_like': 298.71, 'temp_min': 298.19, 'temp_max': 298.19, 'pressure': 1017, 'humidity': 75, 'sea_level': 1017, 'grnd_level': 1014}",10000,"{'speed': 0.8, 'deg': 108, 'gust': 0.98}",{'all': 88},1725584138,"{'country': 'KM', 'sunrise': 1725592040, 'sunset': 1725635018}",10800,921772,Moroni,200
"{'lon': 15.3215, 'lat': -4.3246}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 296.36, 'feels_like': 296.77, 'temp_min': 296.33, 'temp_max': 296.36, 'pressure': 1011, 'humidity': 78, 'sea_level': 1011, 'grnd_level': 979}",8000,"{'speed': 4.12, 'deg': 200}",{'all': 75},1725584139,"{'type': 1, 'id': 2024, 'country': 'CD', 'sunrise': 1725598545, 'sunset': 1725641918}",3600,2314302,Kinshasa,200
"{'lon': 15.2832, 'lat': -4.2658}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 296.35, 'feels_like': 296.76, 'temp_min': 296.32, 'temp_max': 296.35, 'pressure': 1011, 'humidity': 78, 'sea_level': 1011, 'grnd_level': 979}",8000,"{'speed': 1.03, 'deg': 0}",{'all': 75},1725584140,"{'type': 1, 'id': 2024, 'country': 'CG', 'sunrise': 1725598553, 'sunset': 1725641929}",3600,2260535,Brazzaville,200
"{'lon': -84.0833, 'lat': 9.9333}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 293.52, 'feels_like': 294.09, 'temp_min': 292.92, 'temp_max': 293.74, 'pressure': 1013, 'humidity': 95, 'sea_level': 1013, 'grnd_level': 847}",6000,"{'speed': 5.14, 'deg': 260}",{'all': 75},1725584105,"{'type': 2, 'id': 2007848, 'country': 'CR', 'sunrise': 1725535623, 'sunset': 1725579784}",-21600,3621849,San José,200
"{'lon': 15.9775, 'lat': 45.8131}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 293.65, 'feels_like': 293.71, 'temp_min': 291.97, 'temp_max': 293.65, 'pressure': 1012, 'humidity': 75, 'sea_level': 1012, 'grnd_level': 994}",10000,"{'speed': 3.6, 'deg': 240}",{'all': 0},1725584142,"{'type': 2, 'id': 2006646, 'country': 'HR', 'sunrise': 1725596620, 'sunset': 1725643528}",7200,6618983,Donji grad,200
"{'lon': -82.383, 'lat': 23.133}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 297.39, 'feels_like': 298.48, 'temp_min': 297.33, 'temp_max': 297.39, 'pressure': 1014, 'humidity': 100, 'sea_level': 1014, 'grnd_level': 1008}",7000,"{'speed': 2.57, 'deg': 10}",{'1h': 2.73},{'all': 75},1725584072,"{'type': 1, 'id': 7236, 'country': 'CU', 'sunrise': 1725534801, 'sunset': 1725579791}",-14400,3553478,Havana,200
"{'lon': 33.3667, 'lat': 35.1667}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 297.98, 'feels_like': 298.82, 'temp_min': 297.98, 'temp_max': 297.98, 'pressure': 1007, 'humidity': 88, 'sea_level': 1007, 'grnd_level': 975}",10000,"{'speed': 2.57, 'deg': 300}",{'all': 20},1725584099,"{'type': 1, 'id': 6370, 'country': 'CY', 'sunrise': 1725592982, 'sunset': 1725638821}",10800,146268,Nicosia,200
"{'lon': 14.4208, 'lat': 50.088}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.57, 'feels_like': 292.06, 'temp_min': 291.18, 'temp_max': 293.87, 'pressure': 1013, 'humidity': 57, 'sea_level': 1013, 'grnd_level': 979}",10000,"{'speed': 4.63, 'deg': 70}",{'all': 0},1725584145,"{'type': 2, 'id': 2010430, 'country': 'CZ', 'sunrise': 1725596713, 'sunset': 1725644182}",7200,3067696,Prague,200
"{'lon': 12.5655, 'lat': 55.6759}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.59, 'feels_like': 292.68, 'temp_min': 292.12, 'temp_max': 293.09, 'pressure': 1022, 'humidity': 80, 'sea_level': 1022, 'grnd_level': 1020}",10000,"{'speed': 6.17, 'deg': 70}",{'all': 6},1725583932,"{'type': 2, 'id': 2035645, 'country': 'DK', 'sunrise': 1725596701, 'sunset': 1725645085}",7200,2618425,Copenhagen,200
"{'lon': 42.5, 'lat': 11.5}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 304, 'feels_like': 304.8, 'temp_min': 304, 'temp_max': 304, 'pressure': 1006, 'humidity': 46, 'sea_level': 1006, 'grnd_level': 940}",10000,"{'speed': 1.8, 'deg': 203, 'gust': 2.62}",{'all': 9},1725584147,"{'country': 'DJ', 'sunrise': 1725591595, 'sunset': 1725635825}",10800,223816,Djibouti,200
"{'lon': -61.3881, 'lat': 15.3017}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 300.16, 'feels_like': 302.73, 'temp_min': 300.16, 'temp_max': 300.16, 'pressure': 1013, 'humidity': 78, 'sea_level': 1013, 'grnd_level': 1002}",10000,"{'speed': 1.67, 'deg': 43, 'gust': 1.96}",{'1h': 0.11},{'all': 2},1725584148,"{'type': 1, 'id': 8763, 'country': 'DM', 'sunrise': 1725530015, 'sunset': 1725574501}",-14400,3575635,Roseau,200
"{'lon': -69.9886, 'lat': 18.5001}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.64, 'feels_like': 298.57, 'temp_min': 297.64, 'temp_max': 297.64, 'pressure': 1014, 'humidity': 93, 'sea_level': 1014, 'grnd_level': 1004}",10000,"{'speed': 2.53, 'deg': 2, 'gust': 4.64}",{'all': 100},1725584024,"{'country': 'DO', 'sunrise': 1725531979, 'sunset': 1725576664}",-14400,3492908,Santo Domingo,200
